Z_i,A total  [Msun^{-1}],A MRR  [Msun^{-1}],A nonMRR  [Msun^{-1}],A MRR_spin  [Msun^{-1}],A nonMRR_spin  [Msun^{-1}],B total  [Msun^{-1}],B MRR  [Msun^{-1}],B nonMRR  [Msun^{-1}],B MRR_spin  [Msun^{-1}],B nonMRR_spin  [Msun^{-1}],C total  [Msun^{-1}],C MRR  [Msun^{-1}],C nonMRR  [Msun^{-1}],C MRR_spin  [Msun^{-1}],C nonMRR_spin  [Msun^{-1}],D total  [Msun^{-1}],D MRR  [Msun^{-1}],D nonMRR  [Msun^{-1}],D MRR_spin  [Msun^{-1}],D nonMRR_spin  [Msun^{-1}],E total  [Msun^{-1}],E MRR  [Msun^{-1}],E nonMRR  [Msun^{-1}],E MRR_spin  [Msun^{-1}],E nonMRR_spin  [Msun^{-1}],F total  [Msun^{-1}],F MRR  [Msun^{-1}],F nonMRR  [Msun^{-1}],F MRR_spin  [Msun^{-1}],F nonMRR_spin  [Msun^{-1}],G total  [Msun^{-1}],G MRR  [Msun^{-1}],G nonMRR  [Msun^{-1}],G MRR_spin  [Msun^{-1}],G nonMRR_spin  [Msun^{-1}],H total  [Msun^{-1}],H MRR  [Msun^{-1}],H nonMRR  [Msun^{-1}],H MRR_spin  [Msun^{-1}],H nonMRR_spin  [Msun^{-1}],I total  [Msun^{-1}],I MRR  [Msun^{-1}],I nonMRR  [Msun^{-1}],I MRR_spin  [Msun^{-1}],I nonMRR_spin  [Msun^{-1}],J total  [Msun^{-1}],J MRR  [Msun^{-1}],J nonMRR  [Msun^{-1}],J MRR_spin  [Msun^{-1}],J nonMRR_spin  [Msun^{-1}],K total  [Msun^{-1}],K MRR  [Msun^{-1}],K nonMRR  [Msun^{-1}],K MRR_spin  [Msun^{-1}],K nonMRR_spin  [Msun^{-1}],L total  [Msun^{-1}],L MRR  [Msun^{-1}],L nonMRR  [Msun^{-1}],L MRR_spin  [Msun^{-1}],L nonMRR_spin  [Msun^{-1}],M total  [Msun^{-1}],M MRR  [Msun^{-1}],M nonMRR  [Msun^{-1}],M MRR_spin  [Msun^{-1}],M nonMRR_spin  [Msun^{-1}],N total  [Msun^{-1}],N MRR  [Msun^{-1}],N nonMRR  [Msun^{-1}],N MRR_spin  [Msun^{-1}],N nonMRR_spin  [Msun^{-1}],O total  [Msun^{-1}],O MRR  [Msun^{-1}],O nonMRR  [Msun^{-1}],O MRR_spin  [Msun^{-1}],O nonMRR_spin  [Msun^{-1}],P total  [Msun^{-1}],P MRR  [Msun^{-1}],P nonMRR  [Msun^{-1}],P MRR_spin  [Msun^{-1}],P nonMRR_spin  [Msun^{-1}],Q total  [Msun^{-1}],Q MRR  [Msun^{-1}],Q nonMRR  [Msun^{-1}],Q MRR_spin  [Msun^{-1}],Q nonMRR_spin  [Msun^{-1}],R total  [Msun^{-1}],R MRR  [Msun^{-1}],R nonMRR  [Msun^{-1}],R MRR_spin  [Msun^{-1}],R nonMRR_spin  [Msun^{-1}],S total  [Msun^{-1}],S MRR  [Msun^{-1}],S nonMRR  [Msun^{-1}],S MRR_spin  [Msun^{-1}],S nonMRR_spin  [Msun^{-1}],T total  [Msun^{-1}],T MRR  [Msun^{-1}],T nonMRR  [Msun^{-1}],T MRR_spin  [Msun^{-1}],T nonMRR_spin  [Msun^{-1}]
0_0003,4.971222976241793e-05,2.3332699124343693e-05,2.637953063807424e-05,7.298146281992788e-06,2.060026205614437e-05,5.5269407919684016e-05,1.5115650438232163e-05,4.015375748145186e-05,8.47365378878852e-06,3.3159942328915364e-05,4.999357718080111e-05,1.992566798414509e-05,3.0067909196656024e-05,1.0820969567980808e-05,2.3092065672996502e-05,4.524418448701141e-05,2.329123460200409e-05,2.19529498850073e-05,8.83689141397571e-06,1.5516214604229537e-05,4.850810090176468e-05,2.279280960908269e-05,2.5715291292681992e-05,7.0619092331085e-06,1.9933820817467293e-05,5.678410742912573e-05,3.059651642409985e-05,2.618759100502587e-05,1.4447999518527695e-05,1.9943933122921263e-05,2.259641840336033e-05,1.6412951498998625e-05,6.183466904361708e-06,3.1922649881744286e-06,4.931057912256489e-06,3.939685449859587e-05,2.125352894020413e-05,1.8143325558391744e-05,6.957222411305235e-06,1.305516717132433e-05,5.651937989795324e-05,2.3865681487628085e-05,3.265369841032513e-05,6.38542806572572e-06,2.144638961959836e-05,3.0822904362516085e-05,1.8481237289870765e-05,1.2341667072645326e-05,3.688486521773885e-06,2.16100338880062e-06,5.825652500545872e-05,3.150242228391918e-05,2.6754102721539525e-05,1.4819888943040607e-05,2.088509274651341e-05,5.0964039804503655e-05,2.5088940319153902e-05,2.587509948534977e-05,8.93183252719698e-06,2.0267419893677128e-05,5.086009014637472e-05,2.3404619512643728e-05,2.7455470633731e-05,7.3711549355844124e-06,2.110776044843802e-05,4.874401319227995e-05,2.3252572216143667e-05,2.54914409761363e-05,7.2187617623803985e-06,1.9886008808005034e-05,5.00347250119593e-05,2.424572190248689e-05,2.57890031094724e-05,6.748227998345352e-06,2.0401389573720712e-05,5.474753153087516e-05,2.5711810194731866e-05,2.9035721336143285e-05,9.409151954305629e-06,2.330371915693912e-05,5.769869234354368e-05,2.798317778037065e-05,2.9715514563173025e-05,1.1572132630320745e-05,2.4039098826680185e-05,5.6839801067914526e-05,2.894794742135724e-05,2.7891853646557312e-05,1.2469799642477986e-05,2.249468881298192e-05,4.905192459279775e-05,2.3578591382071416e-05,2.5473333210726357e-05,7.707916891444814e-06,2.04489584419191e-05,4.860811048992494e-05,2.1012297575126512e-05,2.7595812914798426e-05,6.600930165293756e-06,2.1872740948903124e-05
0_00034,5.053384830833492e-05,2.333411270507512e-05,2.71997356032598e-05,7.166599598367183e-06,2.118767216495708e-05,5.6406446266426274e-05,1.5415803338762415e-05,4.0990642927663865e-05,8.432114613146881e-06,3.3480763628890405e-05,5.057575839059281e-05,2.0365612238846825e-05,3.0210146151745983e-05,1.077589332922126e-05,2.322918921124413e-05,4.542208753143769e-05,2.352206815953801e-05,2.190001937189968e-05,8.797792906900318e-06,1.5419268585835138e-05,4.928298407030652e-05,2.2881909337869747e-05,2.6401074732436768e-05,6.821471084180341e-06,2.037354367769185e-05,5.7771466283986885e-05,3.083067509538999e-05,2.694079118859692e-05,1.427970813168492e-05,2.0377552334137328e-05,2.3750487676188987e-05,1.6822009858557156e-05,6.9284778176318266e-06,3.246047004103536e-06,5.693460161364154e-06,4.034835117525956e-05,2.1712387149799417e-05,1.863596402546013e-05,7.189778478135279e-06,1.320212212123189e-05,5.726428721302278e-05,2.398551265744964e-05,3.327877455557314e-05,6.282100355527816e-06,2.2187894154495444e-05,3.042007803754485e-05,1.821449182592477e-05,1.220558621162009e-05,3.5928825847125824e-06,2.04494390794013e-06,5.963732220892586e-05,3.205847847400621e-05,2.7578843734919645e-05,1.5182212217467896e-05,2.147973447122886e-05,5.1668795265465766e-05,2.520925795800793e-05,2.645953730745784e-05,8.872690399453223e-06,2.050330090071226e-05,5.2158905985433306e-05,2.3643418105406024e-05,2.851548788002727e-05,7.316371509596671e-06,2.169347282005369e-05,4.946971966749593e-05,2.3239290783538984e-05,2.6230428883956945e-05,7.07173839673923e-06,2.038533425275674e-05,5.090572440491453e-05,2.431730479924197e-05,2.6588419605672565e-05,6.741488855828869e-06,2.098201498868264e-05,5.531440866764057e-05,2.575657678836549e-05,2.9557831879275075e-05,9.272337004072105e-06,2.376232213334043e-05,5.8437296958200736e-05,2.798805913399123e-05,3.044923782420952e-05,1.1303614713334758e-05,2.453155914161604e-05,5.7776284875597135e-05,2.9080094080805395e-05,2.869619079479174e-05,1.223474895429635e-05,2.307642189558257e-05,4.997195218575006e-05,2.3870351303174695e-05,2.6101600882575352e-05,7.715999991394186e-06,2.08952051037204e-05,4.8838835464779467e-05,2.0331594153824026e-05,2.850724131095544e-05,6.432017893550765e-06,2.2489254006702283e-05
0_00037,5.053644753745177e-05,2.333328092853587e-05,2.7203166608915893e-05,6.906798353227967e-06,2.115009458198237e-05,5.638662448790708e-05,1.562140459171989e-05,4.07652198961872e-05,8.35158048349845e-06,3.333730535589634e-05,5.061339309427916e-05,2.038629765263701e-05,3.022709544164215e-05,1.0548774270521094e-05,2.3216589763758025e-05,4.518687872446619e-05,2.3552880041716045e-05,2.163399868275014e-05,8.754407287509321e-06,1.5278028177124315e-05,4.967365221104925e-05,2.2983162544554785e-05,2.669048966649445e-05,6.674064511279392e-06,2.066507528659989e-05,5.8556575252475794e-05,3.131364586122825e-05,2.724292939124752e-05,1.4441640205649491e-05,2.066727242100244e-05,2.4370370692935192e-05,1.701365347447412e-05,7.35671721846107e-06,3.269465375052078e-06,6.006517935228415e-06,4.044123631340598e-05,2.1838419579804792e-05,1.8602816733601176e-05,7.21361260759888e-06,1.3112621051703872e-05,5.7243798987729785e-05,2.3569974029040005e-05,3.3673824958689774e-05,5.972492494231099e-06,2.2504912831025805e-05,3.0160328283650338e-05,1.793472347346218e-05,1.2225604810188155e-05,3.492723097653625e-06,2.0429386292118897e-06,5.9861408960771885e-05,3.227435113599146e-05,2.7587057824780427e-05,1.506166738316464e-05,2.1441515073882163e-05,5.180565002033438e-05,2.5286998706607527e-05,2.651865131372685e-05,8.686966848603745e-06,2.060361249549596e-05,5.26639933844932e-05,2.3706634022173954e-05,2.895735936231925e-05,7.081077711530548e-06,2.2064980330527867e-05,4.939863934548814e-05,2.326150701415988e-05,2.6137132331328266e-05,6.808258005651819e-06,2.0255053544510048e-05,5.12611702706374e-05,2.442479353557964e-05,2.6836376735057764e-05,6.690481393389232e-06,2.101941195741021e-05,5.550674774397452e-05,2.577180907287282e-05,2.973493867110172e-05,9.033822478609946e-06,2.3953282573829223e-05,5.865759039055507e-05,2.7978181493877905e-05,3.067940889667715e-05,1.1180736558275697e-05,2.484764512569052e-05,5.801481560890057e-05,2.91004969147532e-05,2.8914318694147347e-05,1.216945602329244e-05,2.3400820640840035e-05,5.045743610088873e-05,2.3816925284704047e-05,2.664051081618469e-05,7.544191008596609e-06,2.123899250446876e-05,4.8755080937441004e-05,1.9730956771243103e-05,2.9024124166197894e-05,6.2528600149807006e-06,2.2850052866813683e-05
0_00042,5.1195728058150565e-05,2.3465317091551e-05,2.773041096659956e-05,6.7683331522356895e-06,2.1448409077514744e-05,5.709480356514984e-05,1.572078511927337e-05,4.137401844587647e-05,8.164706263261279e-06,3.359201855295542e-05,5.093860559054549e-05,2.0754161480587208e-05,3.018444410995828e-05,1.0327737657968364e-05,2.326420901830141e-05,4.453990205365456e-05,2.3087300989524928e-05,2.145260106412964e-05,8.368360988946451e-06,1.527843080776706e-05,5.003478471008903e-05,2.321207671238584e-05,2.682270799770319e-05,6.5733542416425685e-06,2.06733078170689e-05,5.95380459890965e-05,3.2063447933974046e-05,2.747459805512245e-05,1.4722882615593177e-05,2.067995344718564e-05,2.4956383300068483e-05,1.7121674808592154e-05,7.834708491476338e-06,3.304558008897024e-06,6.571469781655558e-06,4.065999865659793e-05,2.2071593908681013e-05,1.8588404747916923e-05,7.367513849419301e-06,1.2865215262533216e-05,5.686253436010759e-05,2.322473034065813e-05,3.363780401944946e-05,5.769334404711574e-06,2.2819233599159584e-05,2.9463839158952266e-05,1.7553944973305958e-05,1.1909894185646304e-05,3.224020755368179e-06,2.1107060907231847e-06,6.096163708530471e-05,3.285215649611021e-05,2.810948058919448e-05,1.528523004211011e-05,2.1738461633625533e-05,5.225085122532018e-05,2.537194712321709e-05,2.687890410210308e-05,8.551622868437268e-06,2.09403986168791e-05,5.296707874519495e-05,2.3739408152205607e-05,2.9227670592989355e-05,6.919605024101069e-06,2.2276829670982868e-05,4.99223613468017e-05,2.333137814431277e-05,2.659098320248893e-05,6.675503845075518e-06,2.051630311728387e-05,5.171189673240579e-05,2.429625731410863e-05,2.7415639418297167e-05,6.664627692172602e-06,2.1224973488678976e-05,5.55991639249938e-05,2.55053811455859e-05,3.0093782779407907e-05,8.671984444736882e-06,2.4362087295702257e-05,5.853347258721123e-05,2.7365239768889943e-05,3.116823281832129e-05,1.0620337331837233e-05,2.535281587256697e-05,5.831525879002452e-05,2.87453291530023e-05,2.956992963702221e-05,1.1724128447128805e-05,2.399670539321496e-05,5.130769395819456e-05,2.404765494505325e-05,2.7260039013141303e-05,7.507436081226122e-06,2.1613215260964515e-05,4.878601159490046e-05,1.897956050169193e-05,2.9806451093208545e-05,6.120984953301208e-06,2.329840124351362e-05
0_00047,5.093396235691866e-05,2.3192548781325007e-05,2.7741413575593647e-05,6.498396693416762e-06,2.1545017718887905e-05,5.724431415288624e-05,1.5598396972346473e-05,4.164591718053976e-05,7.966012451038155e-06,3.380662780813062e-05,5.101593022125349e-05,2.0801864134890508e-05,3.0214066086362988e-05,1.0224119403509933e-05,2.316040796862647e-05,4.442489195318888e-05,2.3148499947329987e-05,2.1276392005858883e-05,8.467943522835988e-06,1.5055712625209564e-05,4.995538408640369e-05,2.290397983195033e-05,2.705140425445335e-05,6.35986249249238e-06,2.0877047724263194e-05,5.958334745426218e-05,3.188680478283973e-05,2.769654267142248e-05,1.45589258744323e-05,2.0884038930125323e-05,2.5165761516406127e-05,1.7105888349629595e-05,8.059873166776539e-06,3.3245727723481803e-06,6.889571803790116e-06,4.031956302068106e-05,2.197067836165908e-05,1.834888465902198e-05,7.188387236143646e-06,1.245456396976928e-05,5.595739304116243e-05,2.2729453457425684e-05,3.322793958373674e-05,5.5960363869776445e-06,2.2911782403534272e-05,2.8938297640253505e-05,1.7151944944679306e-05,1.17863526955742e-05,3.018960728805117e-06,2.0445142072398933e-06,6.057479770629553e-05,3.2435986941519284e-05,2.8138810764776232e-05,1.4735129840427203e-05,2.185166492294773e-05,5.166164913511835e-05,2.49778902378631e-05,2.668375889725523e-05,8.263673565528772e-06,2.070481111028565e-05,5.310177190770551e-05,2.3443822923142186e-05,2.965794898456332e-05,6.693373418289217e-06,2.241859065504678e-05,4.960385045052375e-05,2.307850128305372e-05,2.652534916747004e-05,6.379475375662422e-06,2.049310660660853e-05,5.123236755082518e-05,2.395070263135331e-05,2.7281664919471857e-05,6.404925345948992e-06,2.127358255353676e-05,5.538940601743619e-05,2.5142955505470435e-05,3.024645051196577e-05,8.364072414628645e-06,2.4480868397556347e-05,5.82106874616816e-05,2.6938422114865548e-05,3.127226534681604e-05,1.0204061516373244e-05,2.545320088485743e-05,5.74666107118023e-05,2.8200278386835307e-05,2.926633232496698e-05,1.133242323031365e-05,2.3788481221901425e-05,5.126769607805219e-05,2.397522974537001e-05,2.729246633268218e-05,7.228391833755933e-06,2.155885220373233e-05,4.8233607970286024e-05,1.7732434854985485e-05,3.0501173115300532e-05,5.816450980218514e-06,2.3662983554322634e-05
0_00052,5.043576043793983e-05,2.273688174256853e-05,2.769887869537129e-05,6.252084549872946e-06,2.1548296313446383e-05,5.6942374582969736e-05,1.5641933408353514e-05,4.130044117461623e-05,7.925645286600791e-06,3.34471689061029e-05,5.013713216757503e-05,2.0581461039851432e-05,2.95556711277236e-05,9.929365936906082e-06,2.2845711776719178e-05,4.299220387539456e-05,2.2663657191196543e-05,2.0328546684198008e-05,8.18583381859095e-06,1.462504775809344e-05,4.945135134259154e-05,2.2470586749410496e-05,2.6980764593181028e-05,6.1114402847331134e-06,2.083301343082944e-05,5.946697000687166e-05,3.1868544046823245e-05,2.7598425960048394e-05,1.4689467310916796e-05,2.0845990407012195e-05,2.466238740044273e-05,1.694191760683498e-05,7.72046979360775e-06,3.350315410769185e-06,6.752365315755525e-06,3.970139461275049e-05,2.1821514831139173e-05,1.787987978161131e-05,6.96565755509926e-06,1.2000892726937008e-05,5.491421644898068e-05,2.2035821524358125e-05,3.2878394924622565e-05,5.337469857302456e-06,2.2852650837818546e-05,2.8190007342176105e-05,1.672440349049017e-05,1.1465603851685935e-05,2.8679178526534e-06,2.003716678214893e-06,6.100829914875757e-05,3.29058274749027e-05,2.8102471673854884e-05,1.530761514985047e-05,2.1862313271722103e-05,5.1252851940980114e-05,2.4798222272000703e-05,2.6454629668979403e-05,8.140049779156029e-06,2.0472929304540045e-05,5.247273933976669e-05,2.307221354423157e-05,2.940052579553511e-05,6.470233606653414e-06,2.2350680507965253e-05,4.897858329881949e-05,2.2637799699256007e-05,2.6340783599563497e-05,6.154120972602376e-06,2.0346428996838776e-05,5.076277603141727e-05,2.3453729718613328e-05,2.730904631280394e-05,6.308513861901506e-06,2.115859928367588e-05,5.48245559613217e-05,2.4650990999531547e-05,3.0173564961790133e-05,8.053389283599172e-06,2.439317750244723e-05,5.74752524759339e-05,2.6311414339609626e-05,3.116383813632427e-05,9.705857673831646e-06,2.552492333540975e-05,5.671034364301452e-05,2.7443661414114424e-05,2.9266682228900103e-05,1.074236709809027e-05,2.4013277255457005e-05,5.079440874613689e-05,2.348251645872757e-05,2.731189228740932e-05,6.822037679534043e-06,2.1255853231111007e-05,4.721654994553774e-05,1.648925533929459e-05,3.072729460624315e-05,5.439259077507295e-06,2.382425505035852e-05
0_00058,4.992455237203883e-05,2.2209653090227488e-05,2.771489928181135e-05,6.017072095179083e-06,2.143169543813652e-05,5.6703628070253184e-05,1.5405342948466262e-05,4.12982851217869e-05,7.845975733868775e-06,3.33640637997651e-05,4.95167400505333e-05,2.0182403454904567e-05,2.9334336595628727e-05,9.364253335408602e-06,2.2474654839964025e-05,4.220298924996991e-05,2.228850743177077e-05,1.991448181819913e-05,8.10163366823302e-06,1.419502755669137e-05,4.885860537142254e-05,2.1893030480435496e-05,2.696557489098705e-05,5.825677630954954e-06,2.070307380051173e-05,5.955380814477184e-05,3.19251673618209e-05,2.762864078295094e-05,1.4945479734058697e-05,2.072896387240037e-05,2.4251839445906066e-05,1.6764701115841878e-05,7.487138330064182e-06,3.445381437679628e-06,6.486141341228022e-06,3.923902951060551e-05,2.140778345849638e-05,1.7831246052109123e-05,6.727288121124508e-06,1.163199671077284e-05,5.3743537302943406e-05,2.1497924419345333e-05,3.224561288359809e-05,5.2336587897534975e-06,2.266404566103388e-05,2.7406485604493623e-05,1.6209939226504994e-05,1.1196546377988637e-05,2.67563658317404e-06,2.0104096152005165e-06,6.06477611354624e-05,3.2525054201394306e-05,2.8122706934068087e-05,1.518062160932034e-05,2.1743030474268432e-05,5.020317088802164e-05,2.40094534729132e-05,2.6193717415108445e-05,7.706909856030841e-06,2.029206861957501e-05,5.18553978459124e-05,2.224387268339438e-05,2.9611525162518e-05,6.055260650822377e-06,2.227487632036337e-05,4.842221177027053e-05,2.2134746914985744e-05,2.628746485528479e-05,5.916365830876684e-06,2.0135496244035e-05,5.0227427935104845e-05,2.278395056314603e-05,2.74434773719588e-05,6.041815478096129e-06,2.1158252789021825e-05,5.378925084242452e-05,2.3806780549496032e-05,2.9982470292928487e-05,7.53304020824539e-06,2.4329927776434424e-05,5.619981599597367e-05,2.5550770408256007e-05,3.0649045587717673e-05,9.223942015057882e-06,2.5202519298645182e-05,5.582232907180206e-05,2.656355082667356e-05,2.925877824512852e-05,1.0087083830020706e-05,2.411594015256097e-05,5.014900064629919e-05,2.30920932326749e-05,2.705690741362429e-05,6.447056832201266e-06,2.110610129988553e-05,4.628850447528763e-05,1.5116022992402735e-05,3.11724814828849e-05,5.1679371447825595e-06,2.39345895531165e-05
0_00065,4.919322323611728e-05,2.137615736096806e-05,2.78170658751492e-05,5.732104784637856e-06,2.149626414053877e-05,5.619988153539659e-05,1.516962437243281e-05,4.1030257162963774e-05,7.803479710345079e-06,3.318141992943266e-05,4.799518745415863e-05,1.931094548524872e-05,2.8684241968909907e-05,8.53417148458987e-06,2.191036372706365e-05,4.060173136917622e-05,2.179095403187313e-05,1.881077733730308e-05,7.922420017475542e-06,1.3559382876150608e-05,4.7872768519536406e-05,2.089609858839254e-05,2.697666993114385e-05,5.413179773902202e-06,2.087462614136532e-05,5.870375806872012e-05,3.111301271650963e-05,2.759074535221049e-05,1.4554327990670815e-05,2.0905775526638907e-05,2.3334684882979702e-05,1.64220200398027e-05,6.912664843177003e-06,3.468261472385131e-06,5.978156732808501e-06,3.800547782580898e-05,2.079482978912278e-05,1.7210648036686205e-05,6.402136814652664e-06,1.1338498344769433e-05,5.2141153752612666e-05,2.038822128503596e-05,3.1752932467576695e-05,4.820900492859068e-06,2.2562180427714742e-05,2.623472153959845e-05,1.54650621780224e-05,1.076965936157606e-05,2.396018634106126e-06,1.927450465131784e-06,6.031708065699914e-05,3.2052928370066976e-05,2.826415228693217e-05,1.513872024986588e-05,2.181223598547061e-05,4.901850634228364e-05,2.292450480566428e-05,2.609400153661937e-05,7.157592120975091e-06,2.030466127589064e-05,5.146236983305219e-05,2.161790236638536e-05,2.9844467466666844e-05,5.796978066509112e-06,2.2680072124476272e-05,4.740897956736562e-05,2.128455912806797e-05,2.612442043929764e-05,5.6145387405657804e-06,2.0226134714862698e-05,4.940002804101469e-05,2.185465911571612e-05,2.7545368925298563e-05,5.736116806006998e-06,2.147489039761816e-05,5.32754655813002e-05,2.301753639090228e-05,3.025792919039792e-05,7.106531124821157e-06,2.477135866248043e-05,5.5352106662372e-05,2.4186215703302017e-05,3.116589095906998e-05,8.479843398852037e-06,2.5767403033543912e-05,5.487300647424948e-05,2.5597708884571912e-05,2.927529758967756e-05,9.59949866234375e-06,2.433058397682488e-05,4.938636056994673e-05,2.217386720846471e-05,2.721249336148201e-05,5.984931433484379e-06,2.146125189382669e-05,4.442457437310902e-05,1.316972491727984e-05,3.125484945582918e-05,4.669733832439453e-06,2.411910612381712e-05
0_00073,4.780100392603015e-05,2.008127071578401e-05,2.771973321024614e-05,5.07722823110953e-06,2.1677057684257272e-05,5.499606994116732e-05,1.4477358940396329e-05,4.051871100077098e-05,7.38027701564318e-06,3.2898072404610264e-05,4.658456996358187e-05,1.836487654920441e-05,2.8219693414377457e-05,7.633364799525575e-06,2.1112978601953304e-05,3.976540081678538e-05,2.1315050674193423e-05,1.845035014259197e-05,7.420978292195538e-06,1.2933944404005915e-05,4.736739885802546e-05,1.9912986974835724e-05,2.7454411883189744e-05,5.004362579095506e-06,2.141978975952192e-05,5.881681320670698e-05,3.0800170425858386e-05,2.801664278084859e-05,1.4763401485613332e-05,2.146366332972656e-05,2.2208156648717992e-05,1.5926224241452304e-05,6.281932407265686e-06,3.398894539466671e-06,5.350833151682781e-06,3.6964193222311205e-05,2.0029852035387662e-05,1.6934341186923533e-05,6.090869928521243e-06,1.1061859396216706e-05,5.068862545000039e-05,1.9363406504981712e-05,3.132521894501866e-05,4.466926910798456e-06,2.218971112737797e-05,2.5402108942299184e-05,1.4717859069827754e-05,1.068424987247143e-05,2.1228325362115068e-06,1.8913833969036204e-06,5.961764805739588e-05,3.1487544272694593e-05,2.8130103784701285e-05,1.5087768950997392e-05,2.200873493296553e-05,4.7722029212401766e-05,2.164631348334816e-05,2.60757157290536e-05,6.48631794168617e-06,2.026688762171216e-05,5.070122789926522e-05,2.072705961088592e-05,2.9974168288379283e-05,5.427004423651544e-06,2.2890964700818835e-05,4.608272736222526e-05,2.005711173545529e-05,2.602561562676997e-05,5.035103059469796e-06,2.0185860818286143e-05,4.840604934569916e-05,2.083676530665444e-05,2.756928403904471e-05,5.200414578422156e-06,2.164736478562973e-05,5.234521390844317e-05,2.1870234595892407e-05,3.047497931255076e-05,6.584022128329515e-06,2.5010390280013324e-05,5.431444874904996e-05,2.29921799391566e-05,3.132226880989337e-05,7.850377763432261e-06,2.5990385886960908e-05,5.39044643423724e-05,2.4264709423991e-05,2.963975491838138e-05,8.813270387465513e-06,2.466343277176741e-05,4.83467834536098e-05,2.123091569403801e-05,2.711586775957179e-05,5.56266931223011e-06,2.1420742117801e-05,4.258422809514821e-05,1.1034284394423689e-05,3.154994370072452e-05,3.9920765892558225e-06,2.440322768891866e-05
0_00081,4.706471733657237e-05,1.9455767424812e-05,2.760894991176036e-05,4.8370747711428e-06,2.196400247588204e-05,5.378035839759784e-05,1.4217611370118264e-05,3.956274702747957e-05,7.160197543188169e-06,3.2572055500225285e-05,4.534796696795067e-05,1.7827512446766503e-05,2.7520454521184163e-05,7.09275622633693e-06,2.0740409117939407e-05,3.7901620128811e-05,2.08562342449962e-05,1.704538588381479e-05,7.276531745852059e-06,1.2064109901398673e-05,4.63237183412794e-05,1.9301905578240946e-05,2.7021812763038465e-05,4.762000716165758e-06,2.14760380871583e-05,5.867318695075068e-05,3.106359064127288e-05,2.760959630947781e-05,1.51061008436923e-05,2.154050890299185e-05,2.1158989804409404e-05,1.5424075892223577e-05,5.734913912185826e-06,3.302157870784019e-06,4.748518690165047e-06,3.534356948400658e-05,1.917216513675409e-05,1.6171404347252487e-05,5.752312272009937e-06,1.0902634926454393e-05,4.928952572857999e-05,1.847008749419987e-05,3.081943823438011e-05,4.199266937525216e-06,2.186905694758747e-05,2.445139268465725e-05,1.426815790030946e-05,1.0183234784347782e-05,2.0062004416500937e-06,1.804198926676436e-06,5.93979365935828e-05,3.1360974281319045e-05,2.803696231226374e-05,1.522657396034324e-05,2.2316334050664552e-05,4.646182974897864e-05,2.074578925996234e-05,2.5716040489016293e-05,6.043393026917088e-06,2.035337972575177e-05,4.99196676300608e-05,1.9846002395342723e-05,3.0073665234718048e-05,5.0330730528938605e-06,2.342346305280311e-05,4.515027456347994e-05,1.936242617868507e-05,2.578784838479487e-05,4.745568746314681e-06,2.040168615940896e-05,4.7217067929700126e-05,1.973245310212445e-05,2.748461482757567e-05,4.841801708596843e-06,2.190727085555054e-05,5.116823911965837e-05,2.0753744429919248e-05,3.041449468973912e-05,6.044452421266121e-06,2.537841538355504e-05,5.32579005614686e-05,2.219895351201524e-05,3.105894704945337e-05,7.323884920293655e-06,2.6319536319871875e-05,5.258426252665673e-05,2.3180905120776084e-05,2.940335740588064e-05,8.251500816819157e-06,2.484877113210677e-05,4.711694660801289e-05,2.015553599524428e-05,2.696141061276861e-05,5.235295019712921e-06,2.166888168544397e-05,4.097304896726398e-05,9.32208690457062e-06,3.165096206269337e-05,3.6582655998507663e-06,2.4489764745080784e-05
